id;power;dt;hubheight;diameter;NUTS_ID;lon;lat;N1
260;1000.0;30.04.2002;98.0;70.0;DE11B;9.97290908;49.48241706;DE1
261;1000.0;30.04.2002;98.0;70.0;DE11B;9.97072851;49.47473871;DE1
262;2000.0;01.06.2005;98.2;71.0;DE11B;9.9771846;49.48020507;DE1
263;800.0;04.12.2015;73.25;53.0;DE11B;9.90394007;49.43927851;DE1
264;2000.0;14.09.2004;105.0;90.0;DE11B;9.56931004;49.51164314;DE1
265;1300.0;01.09.2001;80.0;62.0;DE11B;9.51824811;49.56533624;DE1
266;1300.0;01.09.2001;80.0;62.0;DE11B;9.51615903;49.55731646;DE1
267;1300.0;01.09.2001;80.0;62.0;DE11B;9.51173378;49.56237120000001;DE1
268;1300.0;01.09.2001;80.0;62.0;DE11B;9.51715529;49.56003633;DE1
269;1300.0;01.09.2001;80.0;62.0;DE11B;9.5176674;49.56271342;DE1
270;1000.0;30.11.2001;70.0;54.0;DE11B;9.60890719;49.72972766;DE1
271;1000.0;30.11.2001;70.0;54.0;DE11B;9.61226501;49.72872094;DE1
272;1000.0;30.11.2007;70.0;54.0;DE11B;9.6100642;49.72687144;DE1
273;1500.0;30.11.2001;90.0;70.0;DE11B;9.61222951;49.73140942;DE1
274;1500.0;30.11.2001;90.0;70.0;DE11B;9.60926507;49.73172177;DE1
275;1500.0;30.11.2001;90.0;70.0;DE11B;9.60649409;49.73197908;DE1
276;1500.0;30.11.2001;90.0;70.0;DE11B;9.61496096;49.73132301;DE1
277;1500.0;30.11.2001;90.0;70.0;DE11B;9.60352991;49.73231825;DE1
278;2300.0;01.07.2012;138.38;82.0;DE11B;9.69863106;49.66380207;DE1
279;2000.0;01.07.2012;108.38;82.0;DE11B;9.70896348;49.66564532;DE1
280;2000.0;01.07.2012;108.38;82.0;DE11B;9.70810183;49.66926501;DE1
281;600.0;20.09.2004;77.65;44.0;DE11B;9.49296337;49.68165663;DE1
282;600.0;20.09.2004;77.65;44.0;DE11B;9.48948313;49.68281326;DE1
283;1500.0;30.11.2004;100.0;77.0;DE11B;10.09387005;49.51269799;DE1
284;1500.0;30.11.2004;100.0;77.0;DE11B;10.09130807;49.50740825;DE1
285;1500.0;30.11.2004;100.0;77.0;DE11B;10.08717676;49.50852615;DE1
286;1000.0;02.01.2003;90.0;58.6;DE11B;9.76685226;49.70881083;DE1
287;2400.0;07.06.2016;140.6;116.8;DE11B;9.54189344;49.65446465;DE1
288;2400.0;07.06.2016;140.6;116.8;DE11B;9.55588944;49.65157504;DE1
289;2400.0;07.06.2016;140.6;116.8;DE11B;9.55204782;49.65351752;DE1
290;2400.0;07.06.2016;140.6;116.8;DE11B;9.554742999999998;49.65791923;DE1
291;2400.0;07.06.2016;140.6;116.8;DE11B;9.55097079;49.65992429;DE1
